flow_id,source,destination,source_tor,destination_tor,lane,tor_offset,bytes,start_ns,start_ms,start_superslice,completed,finish_ms,fct_ms,flow_goodput_gbps,total_data_hops,data_hops_per_nominal_packet,unfinished_marker,generated,delivered,queue_arrivals,queue_transmissions,dropped,overflow,timeout,shaping,tentative,shaping_checks,shaping_admitted,waste_hops,topology,path_hops_min,path_hops_max,path_hops_sum,last_credit_path_hops,mean_credit_path_hops,credit_drop_ratio,credit_delivery_ratio,waste_link_bytes
41,41,587,6,97,5,91,33554432,2780500,2.7805,51,True,18.422503,15.642003,17.1611945094244,54652,2.3388539393161296,False,123829,23369,350137,249677,100460,4,0,1056,99400,3152,2096,47824,0,1,4,393937,3,3.181298403443458,0.8112800717117961,0.1887199282882039,3060736
42,42,48,7,8,0,1,33554432,382500,0.3825,7,True,12.334288,11.951788,22.4598575543676,56860,2.433346171951898,False,94605,23346,280219,208960,71259,0,0,669,70590,1721,1052,34193,0,1,5,287146,2,3.0352095555203213,0.7532265736483272,0.24677342635167274,2188352
43,43,157,7,26,1,19,33554432,873000,0.873,16,True,17.755564,16.882564,15.900159241214782,56629,2.423460435657123,False,133644,23350,381779,271485,110294,0,0,688,109606,1512,824,57980,0,1,5,431197,2,3.2264598485528717,0.8252820927239531,0.1747179072760468,3710720
44,44,266,7,44,2,37,33554432,1363500,1.3635,25,True,14.574026,13.210526,20.319815880154962,54650,2.3387683485256985,False,104579,23367,297750,216538,81212,0,0,900,80312,2218,1318,33944,0,1,5,318318,2,3.0438042054332133,0.7765612599087771,0.22343874009122291,2172416
45,45,375,7,62,3,55,33554432,1854000,1.854,34,True,11.555876999999999,9.701877,27.668404371648908,55835,2.3894808918560364,False,76802,23360,231736,178294,53442,5,0,698,52739,1609,911,22303,0,1,4,211443,3,2.753092367386266,0.6958412541340069,0.30415874586599306,1427392
46,46,484,7,80,4,73,33554432,2344500,2.3445,43,True,13.244098,10.899598,24.628014354290865,55572,2.3782257029143663,False,86287,23341,257837,194891,62946,0,0,881,62065,2844,1963,29786,0,1,5,259290,2,3.004971780221818,0.7294957525467336,0.2705042474532664,1906304
47,47,593,7,98,5,91,33554432,2835000,2.835,52,True,18.074007,15.239007,17.615022816119186,56168,2.4037317584627895,False,120628,23370,347847,250589,97258,9,0,603,96646,1624,1021,50387,0,1,5,388040,4,3.2168319129886926,0.8062638856650197,0.19373611433498028,3224768
48,48,54,8,9,0,1,33554432,437000,0.437,8,True,14.998704,14.561704,18.434343672965745,59601,2.5506483502375144,False,115248,23351,327944,236047,91897,1,0,937,90959,3001,2064,37963,0,1,4,359424,2,3.1187005414410662,0.7973847702346245,0.20261522976537555,2429632
49,49,163,8,27,1,19,33554432,927500,0.9275,17,True,15.219678,14.292178,18.781983823599173,55968,2.3951726794196944,False,113139,23369,321862,232092,89770,9,0,916,88845,3303,2387,39649,0,1,5,336615,1,2.9752340041895367,0.7934487665614863,0.2065512334385137,2537536
50,50,272,8,45,2,37,33554432,1418000,1.418,26,True,14.107864,12.689864,21.15353292990374,59840,2.560876449694013,False,100438,23346,296484,219392,77092,0,0,1111,75981,2659,1548,35875,0,1,5,315947,3,3.1456918696111034,0.7675580955415281,0.2324419044584719,2296000
